市区町村,人口密度
あきる野市,"1,079.2"
いすみ市,225.7
かすみがうら市,256.0
さくら市,354.3
つくばみらい市,630.0
つくば市,851.7
ときがわ町,188.6
ひたちなか市,"1,566.3"
ふじみ野市,"7,759.4"
みどり市,238.2
みなかみ町,22.0
一宮町,517.5
三宅村,41.1
三浦市,"1,312.6"
三芳町,"2,507.1"
三郷市,"4,717.7"
三鷹市,"11,899.6"
上三川町,566.4
上尾市,"4,986.6"
上里町,"1,039.9"
上野村,6.2
下仁田町,34.9
下妻市,525.7
下野市,797.8
世田谷区,"16,256.1"
中之条町,35.0
中井町,465.2
中区,"7,061.0"
中原区,"17,888.9"
中央区,"12,308.6"
中野区,"22,121.9"
久喜市,"1,827.2"
九十九里町,598.5
二宮町,"3,035.7"
五霞町,350.2
伊勢原市,"1,831.9"
伊勢崎市,"1,519.3"
伊奈町,"3,031.8"
佐倉市,"1,627.4"
佐野市,326.4
保土ケ谷区,"9,476.1"
入間市,"3,259.1"
八千代市,"3,882.0"
八千代町,356.4
八潮市,"5,181.1"
八王子市,"3,108.5"
八街市,900.1
利島村,79.4
利根町,617.1
前橋市,"1,066.0"
加須市,837.4
勝浦市,180.2
北区,"8,851.8"
北本市,"3,289.7"
北茨城市,223.8
匝瑳市,345.2
千代田区,"5,718.7"
千代田町,499.8
南区,"13,861.3"
南房総市,155.7
南牧村,13.6
南足柄市,529.6
印西市,828.9
厚木市,"2,383.9"
取手市,"1,494.5"
古河市,"1,127.6"
台東区,"20,914.3"
吉岡町,"1,065.1"
吉川市,"2,273.5"
吉見町,470.8
君津市,257.9
和光市,"7,607.7"
品川区,"18,497.7"
四街道市,"2,710.8"
国分寺市,"11,277.7"
国立市,"9,463.8"
土浦市,"1,156.1"
坂戸市,"2,444.5"
坂東市,424.8
城里町,111.8
塩谷町,58.8
境町,519.4
墨田区,"19,759.3"
壬生町,646.5
多古町,188.7
多摩区,"10,816.3"
多摩市,"6,994.3"
大井町,"1,191.2"
大和市,"8,828.7"
大多喜町,68.4
大子町,48.3
大宮区,"9,201.9"
大島町,78.3
大泉町,"2,334.4"
大洗町,657.8
大田区,"12,093.1"
大田原市,203.4
大磯町,"1,841.3"
大網白里市,828.7
太田市,"1,270.4"
奥多摩町,21.1
嬬恋村,26.2
宇都宮市,"1,244.5"
守谷市,"1,916.0"
安中市,198.7
宮代町,"2,140.9"
宮前区,"12,559.3"
寄居町,503.9
富士見市,"5,658.0"
富岡市,386.2
富津市,206.6
富里市,923.1
寒川町,"3,624.3"
小山市,970.4
小川町,472.6
小平市,"9,689.9"
小田原市,"1,662.5"
小美玉市,337.6
小金井市,"11,157.0"
小鹿野町,63.8
山北町,43.5
山武市,330.1
岩槻区,"2,274.0"
嵐山町,597.9
川口市,"9,592.8"
川場村,40.8
川島町,465.5
川崎区,"5,893.4"
川越市,"3,249.1"
市原市,732.1
市川市,"8,645.4"
市貝町,175.3
常総市,492.0
常陸大宮市,112.7
常陸太田市,130.7
平塚市,"3,810.4"
幸区,"17,094.8"
幸手市,"1,475.6"
府中市,"8,929.3"
座間市,"7,531.3"
御宿町,276.6
御蔵島村,15.7
志木市,"8,325.5"
愛川町,"1,163.0"
成田市,621.5
我孫子市,"3,024.6"
戸塚区,"7,927.0"
戸田市,"7,746.0"
所属未定地,0
所沢市,"4,749.2"
文京区,"21,263.9"
新宿区,"19,175.9"
新島村,88.6
新座市,"7,287.8"
日の出町,604.1
日光市,53.6
日立市,772.6
日野市,"6,912.3"
日高市,"1,149.3"
旭区,"7,490.8"
旭市,488.7
明和町,554.1
春日部市,"3,481.7"
昭和村,5.9
昭島市,"6,571.5"
朝霞市,"7,692.6"
木更津市,980.0
本庄市,876.0
杉並区,"17,354.9"
杉戸町,"1,460.0"
東久留米市,"8,949.6"
東吾妻町,50.1
東大和市,"6,251.9"
東庄町,286.0
東村山市,"8,857.4"
東松山市,"1,404.6"
東海村,997.1
東秩父村,73.1
東金市,653.3
松伏町,"1,744.8"
松戸市,"8,117.2"
松田町,287.0
板倉町,336.4
板橋区,"18,140.4"
柏市,"3,716.8"
栃木市,469.2
栄区,"6,490.0"
栄町,619.1
桐生市,387.8
桜区,"5,293.0"
桜川市,217.3
桶川市,"2,948.6"
榛東村,509.2
横瀬町,161.6
横芝光町,329.4
横須賀市,"3,849.2"
檜原村,19.0
武蔵村山市,"4,623.3"
武蔵野市,"13,674.8"
毛呂山町,"1,038.0"
水戸市,"1,245.6"
江戸川区,"13,986.6"
江東区,"12,196.1"
河内町,185.8
沼田市,102.2
泉区,"6,462.2"
流山市,"5,658.2"
浦和区,"14,319.9"
浦安市,"9,905.3"
海老名市,"5,134.1"
深谷市,"1,020.9"
清川村,42.6
清瀬市,"7,449.5"
渋川市,310.4
渋谷区,"16,140.5"
港北区,"11,418.2"
港区,"12,787.7"
港南区,"10,816.5"
湯河原町,571.8
滑川町,664.8
潮来市,386.6
瀬谷区,"7,141.7"
熊谷市,"1,216.5"
片品村,10.2
牛久市,"1,436.7"
狛江市,"13,266.4"
狭山市,"3,035.3"
玉村町,"1,398.5"
瑞穂町,"1,885.2"
甘楽町,213.1
町田市,"6,024.9"
白井市,"1,759.9"
白子町,374.7
白岡市,"2,095.3"
皆野町,145.9
益子町,244.9
目黒区,"19,637.9"
真岡市,467.3
真鶴町,953.5
睦沢町,189.9
矢板市,182.8
石岡市,339.0
磯子区,"8,752.3"
神奈川区,"10,424.4"
神崎町,292.3
神川町,281.8
神栖市,649.5
神津島村,99.8
神流町,14.4
福生市,"5,552.6"
秦野市,"1,565.5"
秩父市,103.3
稲城市,"5,183.7"
稲敷市,189.7
稲毛区,"7,567.5"
立川市,"7,536.2"
笠間市,304.4
筑西市,490.8
箱根町,121.6
結城市,770.1
綾瀬市,"3,790.1"
緑区,"4,853.3"
練馬区,"15,653.2"
美浜区,"7,025.7"
美浦村,219.2
美里町,320.0
羽村市,"5,487.5"
羽生市,901.5
習志野市,"8,402.3"
船橋市,"7,508.8"
芝山町,162.7
花見川区,"5,186.5"
芳賀町,213.2
若葉区,"1,745.3"
茂原市,868.5
茂木町,68.9
茅ヶ崎市,"6,789.6"
茨城町,258.3
草加市,"9,042.4"
草津町,121.6
荒川区,"21,405.0"
葉山町,"1,858.3"
葛飾区,"13,019.9"
蓮田市,"2,254.4"
蕨市,"14,536.8"
藤岡市,350.9
藤沢市,"6,281.0"
行方市,144.7
行田市,"1,164.9"
袖ケ浦市,672.9
西区,"3,210.8"
西東京市,"13,167.5"
見沼区,"5,377.9"
調布市,"11,242.5"
豊島区,"23,182.1"
越生町,273.1
越谷市,"5,671.0"
足利市,814.3
足立区,"13,052.5"
逗子市,"3,302.1"
邑楽町,820.4
那珂川町,78.9
那珂市,546.9
那須塩原市,194.4
那須烏山市,142.7
那須町,64.3
都筑区,"7,647.4"
酒々井町,"1,091.3"
野木町,823.0
野田市,"1,474.1"
金沢区,"6,425.7"
鉾田市,221.4
銚子市,694.0
鋸南町,154.7
鎌ケ谷市,"5,215.0"
鎌倉市,"4,353.7"
長南町,109.9
長柄町,142.7
長瀞町,223.7
長生村,488.6
長野原町,38.1
開成町,"2,798.3"
阿見町,680.0
青梅市,"1,292.6"
青葉区,"8,823.3"
飯能市,416.3
館山市,410.3
館林市,"1,235.2"
香取市,275.8
高山村,54.7
高崎市,812.3
高根沢町,412.4
高津区,"14,323.2"
高萩市,143.1
鳩山町,527.0
鴨川市,168.0
鴻巣市,"1,732.3"
鶴ヶ島市,"3,972.6"
鶴見区,"8,950.9"
鹿嶋市,631.5
鹿沼市,191.7
麻生区,"7,772.3"
龍ケ崎市,972.4