Show name,言語,6/28 〜 7/04,7/05 〜 7/11,7/12 〜 7/18,7/19 〜 7/25,7/26 〜 8/01,8/02 〜 8/08,8/09 〜 8/15,8/16 〜 8/22,8/23 〜 8/29,8/30 〜 9/05,9/06 〜 9/12,9/13 〜 9/19,9/20 〜 9/26,9/27 〜 10/03,10/04 〜 10/10,10/11 〜 10/17,10/18 〜 10/24,10/25 〜 10/31,11/01 〜 11/07,11/08 〜 11/14
A Tale Dark & Grimm: Season 1,英語,,,,,,,,,,,,,,,,18730000,,,,
Alice in Borderland: Season 1,英語以外,,,,,,,,,,,,,10890000,26280000,22220000,16310000,8700000,,,
All American: Season 3,英語,,,,,43970000,33020000,20870000,14990000,10480000,,,,,,,,,,,
AlRawabi School for Girls: Limited Series,英語以外,,,,,,,11620000,18070000,11500000,,,,,,,,,,,
Another Life: Season 2,英語,,,,,,,,,,,,,,,,,15760000,,,
Arcane: Season 1,英語,,,,,,,,,,,,,,,,,,,,34170000
Atypical: Season 4,英語,,20620000,29680000,15920000,,,,,,,,,,,,,,,,
Bake Squad: Season 1,英語,,,,,,,,13220000,,,,,,,,,,,,
Baki Hanma: Season 1,英語以外,,,,,,,,,,,,,,20090000,14560000,,,,,
Big Mouth: Season 5,英語,,,,,,,,,,,,,,,,,,,19570000,25390000
Biohackers: Season 2,英語以外,,,7500000,,,,,,,,,,,,,,,,,
Blood & Water: Season 2,英語,,,,,,,,,,,,,,15870000,,,,,,
Brand New Cherry Flavor: Limited Series,英語,,,,,,,,11140000,,,,,,,,,,,,
Car Masters: Rust to Riches: Season 3,英語,,,,,,13930000,,,,,,,,,,,,,,
Carinha de Anjo: Season 1,英語以外,,,,,,,,,,,,,,,10240000,12760000,13930000,14070000,14090000,13660000
Clickbait: Limited Series,英語,,,,,,,,,51280000,76540000,54420000,35020000,22150000,13210000,,,,,,
Cocaine Cowboys: The Kings of Miami: Limited Series,英語,,,,,,18890000,13870000,,,,,,,,,,,,,
CoComelon: Season 1,英語,,,,,,,,,,9140000,,,,,,,,,,
CoComelon: Season 3,英語,11430000,,,,,,,10990000,11030000,11050000,,,,10690000,,,,,,
CoComelon: Season 4,英語,,,,,,,,,,,,,,,,,15930000,13710000,,
Control Z: Season 1,英語以外,,,,,,8580000,,,,,,,,,,,,,,
Control Z: Season 2,英語以外,,,,,,25430000,16400000,8250000,,,,,,,,,,,,
D.P.: Season 1,英語以外,,,,,,,,,8430000,19170000,,,,,,,,,,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",英語以外,,,,,,,,,,,,,,,,,,,7940000,6060000
Dive Club: Season 1,英語,,,,,,,,,,,11480000,,,,,,,,,
Dynasty: Season 4,英語,,,,,,,,,,,,,,,,,19970000,47820000,32050000,21020000
Elite: Season 1,英語以外,10530000,,,,,,,,,,,,,,,,,,,
Elite: Season 2,英語以外,10140000,,,,,,,,,,,,,,,,,,,
Elite: Season 3,英語以外,10200000,,,,,,,,,,,,,,,,,,,
Elite: Season 4,英語以外,38720000,21780000,14240000,9410000,6920000,,,,,,,,,,,,,,,
Elize Matsunaga: Once Upon a Crime: Season 1,英語以外,,11700000,12510000,,,,,,,,,,,,,,,,,
For Life: Season 1,英語,,,,,,,13790000,14540000,11180000,,,,,,,,,,,
Gabby's Dollhouse: Season 2,英語,,,,,,,13170000,12180000,,,,,,,,,,,,
Ganglands: Season 1,英語以外,,,,,,,,,,,,,16260000,27030000,11210000,,,,,
Gone for Good: Limited Series,英語以外,,,,,,,9750000,14920000,,,,,,,,,,,,
Good Girls: Season 1,英語,,,,,,,,,,9590000,,,,,,,,,,
Good Girls: Season 4,英語,,,,,,,,,,37580000,31750000,19310000,12920000,,,,,,,
Grey's Anatomy: Season 17,英語,,,,,,,,,,,,,,18680000,29650000,15990000,,,,
Heist: Season 1,英語,,,18710000,15390000,,,,,,,,,,,,,,,,
Hit & Run: Season 1,英語,,,,,,23570000,45190000,20660000,10090000,,,,,,,,,,,
Hometown Cha-Cha-Cha: Season 1,英語以外,,,,,,,,,,9630000,14870000,18580000,23360000,28330000,32890000,37740000,31840000,18290000,16010000,13820000
Hospital Playlist: Season 2,英語以外,,,8530000,8070000,,,9500000,10340000,10980000,,11590000,13050000,,,,,,,,
Hotel Del Luna: Season 1,英語以外,,,,,,,,,,,9980000,,,,,,,,,
House of Secrets: The Burari Deaths: Limited Series,英語以外,,,,,,,,,,,,,,,,9220000,,,,
How to Sell Drugs Online (Fast): Season 3,英語以外,,,,,16470000,8580000,,,,,,,,,,,,,,
Hunter X Hunter (2011): Season 5,英語以外,,,,,,9610000,,,,,,,,,,,,,,
Inside Job: Part 1,英語,,,,,,,,,,,,,,,,,,21240000,,
Into the Night: Season 2,英語以外,,,,,,,,,,,10630000,,,,,,,,,
Jaguar: Season 1,英語以外,,,,,,,,,,,,,11620000,,,,,,,
Katla: Season 1,英語以外,9190000,,,,,,,,,,,,,,,,,,,
Locke & Key: Season 1,英語,,,,,,,,,,,,,,,,,15710000,24590000,15950000,
Locke & Key: Season 2,英語,,,,,,,,,,,,,,,,,35530000,56490000,32250000,18770000
Love 101: Season 2,英語以外,,,,,,,,,,,,,,12600000,,,,,,
Love Is Blind: Season 1,英語,,,,,19370000,,,,,,,,,,,,,,,
Love Is Blind: Brazil: Season 1,英語以外,,,,,,,,,,,,,,,,13770000,16290000,9130000,,
Lucifer: Season 1,英語,,,,,,,,,,,,11560000,,,,,,,,
Lucifer: Season 3,英語,9550000,,,,,,,,,,,,,,,,,,,
Lucifer: Season 5,英語,16890000,13440000,,,,,,,,,12260000,16240000,12180000,,,,,,,
Lucifer: Season 6,英語,,,,,,,,,,,75940000,98140000,42990000,25110000,16730000,,,,,
Luis Miguel - The Series: Season 3,英語以外,,,,,,,,,,,,,,,,,,9990000,9720000,
Lupin: Part 2,英語以外,20970000,13150000,9280000,6840000,,,,,,,,,,,,,,,,
Maid: Limited Series,英語,,,,,,,,,,,,,,61080000,166520000,129280000,79040000,56700000,41290000,29480000
Manifest: Season 1,英語,36330000,31940000,21350000,16220000,,,,,12410000,10320000,,,,,,,,,,
Manifest: Season 2,英語,21330000,20070000,,,,,,,,,,,,,,,,,,
Manifest: Season 3,英語,,,,,,,,,17740000,15660000,11150000,,,,,,,,,
Maya and the Three: Limited Series,英語,,,,,,,,,,,,,,,,,,34000000,21470000,
Midnight Mass: Limited Series,英語,,,,,,,,,,,,,33200000,59120000,29020000,20940000,,,,
Money Heist: Part 1,英語以外,,,,,,,,,,22710000,38030000,19340000,12150000,9370000,,,,,,
Money Heist: Part 2,英語以外,,,,,,,,,,,16720000,11940000,,,,,,,,
Money Heist: Part 3,英語以外,,,,,,,,,,7070000,14410000,11490000,,,,,,,,
Money Heist: Part 4,英語以外,,,,,,,,,,14870000,16720000,12270000,8680000,,,,,,,
Money Heist: Part 5,英語以外,,,,,,,,,,201910000,123170000,39910000,21830000,14250000,9730000,,,,,
Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,英語,,,,,,,,,,,,,15150000,,,,,,,
My Name: Season 1,英語以外,,,,,,,,,,,,,,,,41780000,84530000,38580000,18430000,10820000
Narcos: Mexico: Season 1,英語,,,,,,,,,,,,,,,,,,,,15570000
Narcos: Mexico: Season 3,英語,,,,,,,,,,,,,,,,,,,28150000,50290000
Never Have I Ever: Season 1,英語,,,,17400000,,,,,,,,,,,,,,,,
Never Have I Ever: Season 2,英語,,,58380000,50190000,23570000,,,,,,,,,,,,,,,
"Nevertheless,: Season 1",英語以外,,,8130000,7880000,7710000,7960000,,9030000,,,,,,,8570000,10080000,,,,
"Newly Rich, Newly Poor: Season 1",英語以外,28270000,24990000,21450000,19070000,16700000,14510000,12750000,12080000,12120000,11100000,10350000,9320000,8410000,,,,,,,
Octonauts: Above & Beyond: Season 1,英語,,,,,,,,,,,11730000,,,,,,,,,
On My Block: Season 4,英語,,,,,,,,,,,,,,,63520000,17360000,,,,
Open Your Eyes: Season 1,英語以外,,,,,,,,,8220000,,,,,,,,,,,
Outer Banks: Season 1,英語,,,,,26240000,45080000,30390000,20300000,13860000,,,,,,,,,,,
Outer Banks: Season 2,英語,,,,,100160000,105330000,51600000,31800000,20790000,12910000,,,,,,,,,,
PAW Patrol: Season 6,英語,,,,,,,,,,,,,,,19910000,,,,,
Pokémon Journeys: The Series: Season 1,英語,15350000,21870000,,,,,,,,,,,,,,,,,,
Record of Ragnarok: Season 1,英語以外,9140000,,,,,,,,,,,,,,,,,,,
Scaredy Cats: Season 1,英語,,,,,,,,,,,,,,,12520000,,,,,
Sex Education: Season 1,英語,,,,,,,,,,,,14880000,27380000,18420000,,,,,,
Sex Education: Season 2,英語,,,,,,,,,,,,,22030000,18140000,12760000,,,,,
Sex Education: Season 3,英語,,,,,,,,,,,,125770000,160420000,72870000,42120000,28190000,18380000,,,
Sex/Life: Season 1,英語,86730000,69860000,45000000,31200000,21620000,15500000,12190000,,,,,,,,,,,,,
SHAMAN KING: Season 1,英語以外,,,,,,,12970000,,,,,,,,,,,,,
Shameless (U.S.): Season 11,英語,,,,,,,,,,,,,,,,23530000,,,,
Sharkdog: Season 1,英語,,,,,,,,,,,19590000,14180000,,,,,,,,
Sintonia: Season 2,英語以外,,,,,,,,,,,,,,,,,,25890000,11010000,
Sky Rojo: Season 2,英語以外,,,,12980000,15660000,,,,,,,,,,,,,,,
Somos.: Season 1,英語以外,11510000,9420000,,,,,,,,,,,,,,,,,,
Sophie: A Murder in West Cork: Limited Series,英語,12800000,,,,,,,,,,,,,,,,,,,
Squid Game: Season 1,英語以外,,,,,,,,,,,,63190000,448730000,571760000,412940000,258840000,147560000,90100000,65000000,42790000
Sweet Tooth: Season 1,英語,21350000,13100000,,,,,,,,,,,,,,,,,,
The 100: Season 7,英語,,,,,,,,,,13590000,12990000,,,,,,,,,
The Baby-Sitters Club: Season 2,英語,,,,,,,,,,,,,,,,17030000,,,,
The Chair: Season 1,英語,,,,,,,,,14020000,,,,,,,,,,,
The Chestnut Man: Season 1,英語以外,,,,,,,,,,,,,,31380000,30300000,20720000,12900000,8910000,,
The Circle: Season 3,英語,,,,,,,,,,,,14350000,15850000,,,,,,,
The Club: Part 1,英語以外,,,,,,,,,,,,,,,,,,,,7860000
The Cook of Castamar: Season 1,英語以外,,16960000,51570000,36650000,24170000,15800000,11950000,8820000,7550000,,,,,,,,,,,
The Five Juanas: Season 1,英語以外,,,,,,,,,,,,,,,39460000,62890000,34600000,19410000,13000000,8490000
The Good Doctor: Season 1,英語,,,18980000,25520000,18510000,14090000,11810000,10430000,,,,,,,,,,,,
The Good Doctor: Season 2,英語,,,,,13240000,,,,,,,,,,,,,,,
The King's Affection: Season 1,英語以外,,,,,,,,,,,,,,,,,6950000,9740000,11990000,14120000
The Seven Deadly Sins: Dragon's Judgement,英語以外,33240000,10110000,,,,,,,,,,,14020000,13420000,,,,,,
The Snitch Cartel: Origins: Season 1,英語以外,,,,,15150000,26880000,23830000,19260000,15480000,11530000,,,,,,,,,,
The Walking Dead: Season 10,英語,,,,,15050000,,,,,,,,,,,,,,,
The War Next-door: Season 1,英語以外,,13970000,14360000,9730000,,,,,,,,,,,,,,,,
Too Hot to Handle: Season 2,英語,62150000,33420000,16110000,,,,,,,,,,,,,,,,,
Too Hot to Handle: Brazil: Season 1,英語以外,,,,9450000,14230000,7470000,,,,,,,,,,,,,,
Top Secret UFO Projects: Declassified: Season 1,英語,,,,,,17040000,,,,,,,,,,,,,,
Turning Point: 9/11 and the War on Terror: Season 1,英語,,,,,,,,,,24050000,37910000,18720000,,,,,,,,
Valeria: Season 2,英語以外,,,,,,,9600000,15640000,9020000,,,,,,,,,,,
Virgin River: Season 1,英語,,13590000,20080000,14360000,,,,,,,,,,,,,,,,
Virgin River: Season 2,英語,,,17000000,13770000,,,,,,,,,,,,,,,,
Virgin River: Season 3,英語,,62580000,87270000,44890000,28320000,18840000,13220000,,,,,,,,,,,,,
Where is Marta?: Limited Series,英語以外,,,,,,,,,,,,,,,,,,,,8640000
"Yo soy Betty, la fea: Season 1",英語以外,,,,,,,,,7340000,7200000,,,,,,,7710000,,7710000,7650000
You: Season 1,英語,,,,,,,,,,,,,,,,23050000,44810000,29880000,20910000,14570000
You: Season 2,英語,,,,,,,,,,,,,,,,,33120000,28050000,21660000,15520000
You: Season 3,英語,,,,,,,,,,,,,,,,133120000,179000000,82790000,52590000,33720000
Young Royals: Season 1,英語以外,,9820000,,,,,,,,,,,,,,,,,,